Team,Squad_Size,Average_Age,Number_of_Foreigners,Average_Market_Value,Total_Market_Value,Position,Goal_Difference,Points,Year,Squad_Size_Normalized_by_Avg,Squad_Size_Normalized_by_Max,Average_Age_Normalized_by_Avg,Average_Age_Normalized_by_Max,Number_of_Foreigners_Normalized_by_Avg,Number_of_Foreigners_Normalized_by_Max,Average_Market_Value_Normalized_by_Avg,Average_Market_Value_Normalized_by_Max,Total_Market_Value_Normalized_by_Avg,Total_Market_Value_Normalized_by_Max
leeds united,35,24.0,20,8.56,299.45,17,-37,38,2021,0.8695652173913043,0.7142857142857143,0.9435816787890702,0.8602150537634409,0.8163265306122449,0.5555555555555556,0.7495949910241254,0.3325563325563326,0.6413991046758198,0.29945
southampton fc,33,25.6,19,8.31,274.3,15,-24,40,2021,0.8198757763975155,0.673469387755102,1.006487124041675,0.917562724014337,0.7755102040816326,0.5277777777777778,0.7277026139498226,0.3228438228438229,0.5875297191937798,0.2743
brentford fc,38,24.7,27,7.19,273.3,13,-8,46,2021,0.9440993788819876,0.7755102040816326,0.9711028110870847,0.8853046594982079,1.1020408163265305,0.75,0.6296247646569464,0.2793317793317794,0.5853877953177544,0.2733
crystal palace,33,26.5,16,8.21,271.05,12,4,48,2021,0.8198757763975155,0.673469387755102,1.041871436996265,0.949820788530466,0.6530612244897959,0.4444444444444444,0.7189456631201016,0.318958818958819,0.5805684665966971,0.27105
norwich city,45,24.7,29,3.63,163.2,20,-61,22,2021,1.1180124223602483,0.9183673469387755,0.9711028110870847,0.8853046594982079,1.183673469387755,0.8055555555555556,0.31787731511887557,0.14102564102564102,0.3495619765673528,0.16319999999999998
watford fc,47,26.4,36,3.32,156.2,19,-43,23,2021,1.1677018633540373,0.9591836734693877,1.0379398466679772,0.946236559139785,1.469387755102041,1.0,0.2907307675467402,0.128982128982129,0.33456850943517463,0.15619999999999998
burnley fc,35,27.9,16,3.94,137.85,18,-19,35,2021,0.8695652173913043,0.7142857142857143,1.096913701592294,1.0,0.6530612244897959,0.4444444444444444,0.34502386269101093,0.15306915306915309,0.29526420631010775,0.13785
manchester city,34,26.0,21,33.7,1150.0,1,61,89,2022,0.8095238095238095,0.68,1.0168165819319515,0.9187279151943463,0.8171206225680934,0.6,2.4304053079474977,1.0,2.031873917806283,1.0
arsenal fc,42,24.0,25,23.83,1000.0,2,45,84,2022,1.0,0.84,0.9385999217833398,0.8480565371024735,0.9727626459143969,0.7142857142857143,1.718592240011539,0.7071216617210682,1.7668468850489416,0.8695652173913043
chelsea fc,43,25.2,27,23.14,994.95,12,-9,44,2022,1.0238095238095237,0.86,0.9855299178725068,0.8904593639575972,1.0505836575875487,0.7714285714285715,1.668830232222703,0.686646884272997,1.7579243082794445,0.8651739130434783
manchester united,48,25.4,30,17.66,847.75,3,15,75,2022,1.1428571428571428,0.96,0.993351583887368,0.8975265017667844,1.1673151750972763,0.8571428571428571,1.2736189239867302,0.5240356083086053,1.4978444468002403,0.7371739130434782
